irumeng	iru(N)^[Abl_Mod.Sg]
ghuughaqaput	ghhuugh(V)^~(g)aqe(V→V)^[Ind.Trns]^[1Pl.3Pl]
kumlaanneghata	kumlate(V)^[Ctmp.Intr]^[3Pl]
uugnangi	uugna(DEM.PRO.Abs.Sg)^[Abs.3SgPoss.Pl]
uyaqughhi	uyaqugh(N)^[Abs.3SgPoss.Pl]
uyaqughhi	uyaqugh(N)^[Abs.3SgPoss.Pl]
kelaghlluki	kelag(V)^[Sbrd.Trns]^[_.3Pl]
anuqam	anuqe(V)^[Rel.Sg]
tawantaqut	[Anaphor]^whaa(DEM.ADV.Loc)^~(g)aqe(V→V)^[Ind.Intr]^[3Pl]
atughaqaghput	atugh(V)^~(g)aqe(V→V)^[Ind.Trns]^[1Pl.3Pl]
talliighiitgun	talligh(N)^–ghhagh*(N→N)^[Prl.3PlPoss.Pl]
talliighiitgun	talligh(N)^–ghhagh*(N→N)^[Prl.3PlPoss.Pl]
uvghiinemteki	uygii(V)^[Ctmp.Trns]^[1Pl.3Pl]
ghefsighluki	gheve(V)^+sigh(V→V)^[Sbrd.Trns]^[_.3Pl]
tungangakun	tunge(N)^[Prl.3SgPoss.Sg]
tungatgun	tunge(N)^[Prl.Pl]
qaamkunganeng	qaamku(DEM.PRO)^[Abl_Mod.3SgPoss.Sg]
ukimallghelgunayukata	uki(V)^@~:(i/u)ma(V→V)^–llegh(V→N)^–lgu(V→V)^[Volitive.Of.Fear]^[3Pl]
imlaangiighhaas	imlaa(N)^~fngiighhagh*(N→N)^[Abs.Pl]
aftanaqnemteki	afta(V)^@~fnaqe(V→V)^[Ctmp.Trns]^[1Pl.3Pl]
aftanaqmteki	afta(V)^@~fnaqe(V→V)^[Ctmp.Trns]^[1Pl.3Pl]
amiiraaghhii	amiiragh(N)^-ghhagh*(N→N)^[Abs.3SgPoss.Pl]
ghhuunemteki	ghhuugh(V)^[Ctmp.Trns]^[1Pl.3Pl]
naasqwakun	naasqugh(N)^[Prl.3SgPoss.Sg]
sevlughakun	seve(V)^lugh(V→N)^[Prl.3SgPoss.Sg]
ghhatamaghmeng	ghhatagh(V)^@~:(i/u)magh*(V→QUANTQUAL)^[4Pl]
amiiras	amiiragh(N)^[Abs.Pl]
itghuiluki	itghute(V)^[Sbrd.Trns]^[_.3Pl]
sevlughhwaaneng	seve(V)^lugh^–ghhagh*(N→N)^[Abl_Mod.Pl]
qapiqeltaghluki	qapigh(V)^–ngeltagh(V→V)^[Sbrd.Trns]^[_.3Pl]
estughitneng	estug(N)^[Abl_Mod.3PlPoss.Pl]
qepughluki	qepugh(V)^[Sbrd.Trns]^[_.3Pl]
kinengllaghaqht	kinegh(V)^-ngllagh(V→V)^~(g)aqe(V→V)^[Ind.Trns]^[3Pl.3Pl]
qillaghlluki	qilleghte(V)^[Sbrd.Trns]^[_.3Pl]
ugtinghas	ugtinghagh(N)^[Abs.Pl]
kiighutesnemteki	kiighte(V)^+(te)ste(CmpdVbl)^[Ctmp.Trns]^[1Pl.3Pl]
ghevenghata	gheve(V)^[Ctmp.Intr]^[3Pl]
amiiraghhaas	amiiragh(N)^-ghhagh*(N→N)^[Abs.Pl]
ugtinghet	ugtinghagh(N)^[Abs.Pl]
uqfiillegam	uqfillegagh(N)^[Rel.Sg]
savighhwaaghluki	savigh(V)^~–(ghw/ngw/w)aagh(V→V)^[Sbrd.Trns]^[_.3Pl]
tepenghata	tepe(V)^[Ctmp.Intr]^[3Pl]
uqfiillegat	uqfillegagh(N)^[Abs.Pl]
qaayghulegenghata	qaayghu(N)^–leg(N→N)^e(EV)^[Ctmp.Intr]^[3Pl]
savighhenaamaluki	savighhe(V)^@~fnaagh(V→V)^@~:(i/u)ma(V→V)^[Sbrd.Trns]^[_.3Pl]
unlleghumaghmeng	unglleg(V)^@~:(i/u)magh*(V→QUANTQUAL)^[4Pl]
qaayghus	qaayghu(N)^[Abs.Pl]
ugtinghitkaaqaput	ugtinghagh(N)^@~:(u)tke(V→V)^~(g)aqe(V→V)^[Ind.Trns]^[1Pl.3Pl]
ugtinghitkaaqaput	ugtinghagh(N)^@~:(u)tke(V→V)^~(g)aqe(V→V)^[Ind.Trns]^[1Pl.3Pl]
ughtinghitet	ugtinghagh(N)^@~:(u)te(V→N)^[Abs.Pl]
kuuvenemteki	kuuve(V)^[Ctmp.Trns]^[1Pl.3Pl]
kavighqwaaghaqut	kavigh(N)^––igh(N→V)^~-(ghw/ngw/w)aagh(V→V)^~(g)aqe(V→V)^[Ind.Intr]^[3Pl]
puufsighluki	puuve(V)^+sigh(V→V)^[Sbrd.Trns]^[_.3Pl]
itghuugunneghsighaqaputi	itghuugute(V)^@~f–negh(V→N)^+sigh(V→V)^~(g)aqe(V→V)^[Ind.Trns]^[1Pl.3Pl]
elngaata	elngaatall(PTCL)
ugtinghitet	ugtinghagh(N)^@~:(u)te(V→N)^[Abs.Pl]
kepellghaanun	kepellegh(N)^[All.3SgPoss.Sg]
atughqaalluki	atugh(N)^+kagh(N→N)^~:(ng)u(N→V)^[Sbrd.Trns]^[_.3Pl]
kelaggnemteki	kelag(V)^[Ctmp.Trns]^[1Pl.3Pl]
kehigi	kelug(N)^[Abs.3SgPoss.Pl]
aghighhaqapus	aghi(V)^ghh^~(g)aqe(V→V)^[Ind.Trns]^[1Pl.3Pl]
pellumghaghaqaput	pellug(V)^–mqaghte(V→V)^~(g)aqe(V→V)^[Ind.Trns]^[1Pl.3Pl]
atughqaghqaqaput	atugh(N)^+kagh(N→N)^~-ke(N→V)^~(g)aqe(V→V)^[Ind.Trns]^[1Pl.3Pl]
sukilpaghhaas	sukilpagh*(N)^–ghhagh*(N→N)^[Abs.Pl]
atkugkaaghhneghmegteld	atkugkagh(N)^–ghte(N→V)^[Ctmp.Trns]^[4Pl.3Pl]
atkugkaaghhneghmegteld	atkugkagh(N)^–ghte(N→V)^[Ctmp.Trns]^[4Pl.3Pl]
qugiinii	quginagh(N)^[Abs.3SgPoss.Pl]
qavngarugllak	qavngaq(WH)^–ghrug(V→V)^–ghllag(V→N)^[Abs.Sg]
qavngarugllak	qavngaq(WH)^–ghrug(V→V)^–ghllag(V→N)^[Abs.Sg]
ughhustaqiit	ughhe(V)^~:(ng)u(V→V)^+(te)ste(CmpdVbl)^~(g)aqe(V→V)^[Ind.Trns]^[3Pl.3Pl]
mesiighneghitngwaanghata	mesiigh(V)^@–nghite(V→V)^~–(ghw/ngw/w)aagh(V→V)^[Ctmp.Intr]^[3Pl]
mesiighneghitngwaanghata	mesiigh(V)^@–nghite(V→V)^~–(ghw/ngw/w)aagh(V→V)^[Ctmp.Intr]^[3Pl]
sategtaqnayagaput	sategte(V)^~(g)aqe(V→V)^@~fnayagh(V→V)^[Ind.Trns]^[1P.3Pl]
amighqwaaghii	amighqwaagh(N)^–ghhagh*(N→N)^[Abs.3SgPoss.Pl]
nuvmghluki	nuvugh(V)^[Sbrd.Trns]^[_.3Pl]
tukruugfagilata	tukrug(V)^~:(ng)ughte(N→V)^[Prec.Intr]^[3Pl]
seggughaqiit	segge(V)^:ughagh(V→V)^~(g)aqe(V→V)^[Ind.Trns]^[1Pl.3Pl]
qafsinwaaqat	qafsineg(WH)^~:(ng)u(N→V)^~(g)aqe(V→V)^[Intrg.Intr]^[3Pl]
sukilpat	sukilpagh*(N)^[Abs.Pl]
melqwaneng	melqugh(N)^[Abl_Mod.3SgPoss.Sg]
nagnaaqusighluki	nagnaaqute(N)^@sigh(N→V)^[Sbrd.Trns]^[_.3Pl]
puvisighaqiitlu	puvite(N)^@sigh(N→V)^~(g)aqe(V→V)^[Ind.Trns]^[1Pl.3Pl]^=llu
taghneqegtaa	tagnegh(V)^@–nqegtagh(V→N)^[Abs.3SgPoss.Sg]
uqemelengestaaghhaat	uqe(N)^–mleghagh(N→N)^–ngestagh(N→N)^–ghhagh*(N→N)^[Abs.Pl]
uqemelengestaaghhaat	uqe(N)^–mleghagh(N→N)^–ngestagh(N→N)^–ghhagh*(N→N)^[Abs.Pl]
atkugkaaghhneghmegteki 	atkug(N)^+kagh(N→N)^[Ctmp.Trns]^[4Pl.3Pl]
ighneghlluges	ighneghllug(N)^[Abs.Pl]
maklaguugut	maklagu(N)^~:(ng)u(N→V)^[Ind.Intr]^[3Pl]
natangi	natu(WH)^[Abs.3SgPoss.Pl]
natangi	natu(WH)^[Abs.3SgPoss.Pl]
taanʼgani	[Anaphor]^un'gani(DEM.ADV.Loc)
qaanmangi	qaamna(DEM.PRO.Abs.Sg)^[Abs.3SgPoss.Pl]
qaanmangi	qaamna(DEM.PRO.Abs.Sg)^[Abs.3SgPoss.Pl]
kdigaghaqiit	keligagh(V)^~(g)aqe(V→V)^[Ind.Trns]^[3Pl.3Pl]
narangunaan	naranghite(V)^[Sbrd.Trns]^[_.3Sg]
enraghngam	enragh(PTCL)^=ngam
aghsughhnaqenghinneghmegteki	aghsugh(V)^@~fnaqe(V→V)^@–nghite(V→V)^[Ctmp.Trns]^[4Pl.3Pl]
aghsughhnaqenghinneghmegteki	aghsugh(V)^@~fnaqe(V→V)^@–nghite(V→V)^[Ctmp.Trns]^[4Pl.3Pl]
kiinghwaanghata	kinegh(V)^~–(ghw/ngw/w)aagh(V→V)^[Ctmp.Intr]^[3Pl]
seggughluki	segge(V)^@qugh(V→V)^[Sbrd.Trns]^[_.3Pl]
aghsughtas	aghsughaghsugh(V)^@~:(u)te(V→N)^[Abs.Pl]
aghsughtas	aghsughaghsugh(V)^@~:(u)te(V→N)^[Abs.Pl]
iiggemeggneng	iigge(N)^[Abl_Mod.4PlPoss.Sg]
atighaqsaghet	atigh(V)^~(g)aqe(V→V)^+sagh(V→V)^[Abs.Pl]
uusiuki	uulte(V)^[Sbrd.Trns]^[_.3Pl]
uusiuki	uulte(V)^[Sbrd.Trns]^[_.3Pl]
kanaghlluget	kanagh(V)^+llug(V→V)^[Abs.Pl]
ighncghllupiget	ighneghllug(N)^–pig(N→N)^[Rel.Pl]
igfineghlluget	ighneghllug(N)^[Abs.Pl]
aghsughtellghelnguut	aghsugh(V)^+te(POS→ACTIVE)^−llegh(V→N)^ete(V→V)^[Ptcp.Intr]^[3Pl]
aghsughhnaqneghmegteki	aghsugh(V)^@~fnaqe(V→V)^[Ctmp.Trns]^[4Pl.3Pl]
uullnaqneghmegteki	uulte(V)^@~fnaqe(V→V)^[Ctmp.Trns]^[4Pl.3Pl]
pilagnayukamegteki	pilag(V)^[Volitive.Of.Fear]^[4Pl.3Pl]
nusugiuki	nusug(V)^[Sbrd.Trns]^[_.3Pl]
sagneghpagkun	sagnegh(N)^+pag(V→V)^[Prl.Sg]
maanaaqiit	maana(DEM.PRO.Abs.Sg)^~(g)aqe(V→V)^[Ind.Trns]^[3Pl.3Pl]
iglagaaneng	iglag(N)^[Abl_Mod.Pl]
qapighhaqiit	qapigh(V)^~(g)aqe(V→V)^[Ind.Trns]^[3Pl.3Pl]
nekegsaataqut	nekeg(POS)^@~fyagh(V→V)^@~:(u)te(V→V)^~(g)aqe(V→V)^[Ind.Intr]^[3Pl]
aqeftaghaghqaaluki	aqeftaghaagh(N)^+kagh(N→N)^~:(ng)u(N→V)^[Sbrd.Trns]^[_.3Pl]
siighnas	siighnagh(N)^[Abs.Pl]
aqeftaghaghamun	aqeftaghaagh(N)^[All.Sg]
unatapsugmun	unatagh(V)^–msug(V→V)^[All.Sg]
unatapsugmun	unatagh(V)^–msug(V→V)^[All.Sg]
aghnasallghiinaam	aghnasaleg(N)^–ghhagh*(N→N)^~:(ng)inagh*(N→N)^[Rel.Sg]
aghnasallghiinaam	aghnasaleg(N)^–ghhagh*(N→N)^~:(ng)inagh*(N→N)^[Rel.Sg]
kiinghaqiis	kinegh(V)^~(g)aqe(V→V)^[Ind.Trns]^[3Pl.3Pl]
neqengyupaarugllak	neqengyu(V)^–perug(N→N)^–ghllag(N→N)^[Abs.Sg]
neqengyupaarugllak	neqengyu(V)^–perug(N→N)^–ghllag(N→N)^[Abs.Sg]
piyaaneng	piyaa(V)^[Abl_Mod.Pl]
neghsaghsighaghllagluni	neghsagh(N)^+sighagh(N→V)^–ghllag(V→V)^[Sbrd.Intr]^[4Sg]
upuupeng	upupeng(PTCL)
ugwinganguq	ugi(N)^[Abs.3SgPoss.Sg]^=nguq
ugwingan	ugi(N)^[Rel.3SgPoss.Sg]
nakenʼnguq	naken(WH)^=nguq
taakwegken	[Anaphor]^ukegken(DEM.ADV.Abl_Mod)
iteghaatuk	itegh(V)^~aate(V→V)^[Ind.Intr]^[3Pl]
tawavek	[Anaphor]^awavek(DEM.ADV.All)
iteghaallutek	itegh(V)^~aate(V→V)^[Sbrd.Intr]^[4Du]
ugwika	ugi(N)^[Abs.1SgPoss.Sg]
neqengyiighullii	neqengyu(V)^~i(V→V)^[Opt.Pres.Trns.2Sg.3Sg]=lli
ugwini	ugini(N)^[Abs.Sg]
pemakanga	pi(V)^@~:(i/u)ma(V→V)^[Ptcp.Trns]^[3Sg.3Sg]
aghhutanga	aghhutangatamaghhaan(PTCL)
aghulaqenghani	aghulaqe(V)^[Ctmp.Intr]^[3Sg]
aghulaqaqlluni	aghulaqe(V)^~(g)aqe(V→V)^[Sbrd.Intr]^[4Sg]
taam	taam(PTCL)
ellnginaghhaghpek	ellnginagh*(QUANTQUAL)^–ghhagh*(N→N)^[2Sg]
pellaghyugigasiin	pellagh(EMO)^@~fyug(EMO→V)^@~:(ng)igate(V→V)^[Intrg.Intr.2Sg]
ighsakestamikunʼnguq	ighsake(V)^–kestagh(V→V)^[Prl.4SgPoss.Sg]^=nguq
iilqwa	iilqwaagh(N)^[Abs.Sg]
taakwavek	[Anaphor]^ukavek(DEM.ADV.All)
iqlighmi	iqligh(V)^[Loc.Sg]
unillukuu	unite(V)^[Sbrd.Trns]^[_.3Sg]
taklaghlluni	taklagh(POS)^[Sbrd.Intr]^[4Sg]
aghnaqelqusigpenang	aghnaqe(V)^–lqusigh(N→PTCL)^@–nghite(V→V)^[Sbrd.Intr]^[2Sg]
iqlighpek	iqligh(V)^[Rel.2SgPoss.Sg]
tuquuluni	tuqu(V)^[Sbrd.Intr]^[4Sg]
aneghneghsughyaqminigu	aneghneghte(V)^@~fyug(V→V)^[PtcpObl.Trns]^[4Sg.3Sg]
ii	ii(PTCL)
inagmikluku	inagmig(V)^[Sbrd.Trns]^[_.3Sg]
naagu	na(WH)^[Intrg.Trns]^[2Pl.3Sg]
ukaa	uka(DEM.ADV)
esghalqugpenaanʼnguq	esghalluug(V)^@–nghite(V→V)^[Sbrd.Trns]^[_.3Sg]^=nguq
uumlleqa	umeg(V)^@lleqe(V→V)^[Ind.Trns]^[3Sg.3Sg]
tawatenʼnguq	tawaten(PTCL)^=nguq
uulghumalghii	ullegh(V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
aliinghakuun	aliinegh(N)^[Prl.3SgPoss.Sg]
